Area,Municipality,Positive Cases,Code
Special ward area,Adachi,4769,13121
Special ward area,Arakawa,1591,13118
Special ward area,Itabashi,3683,13119
Special ward area,Edogawa,3853,13123
Special ward area,Ota,5255,13111
Special ward area,Katsushika,2898,13122
Special ward area,Kita,2204,13117
Special ward area,Koto,3279,13108
Special ward area,Shinagawa,3033,13109
Special ward area,Shibuya,3014,13113
Special ward area,Shinjuku,6185,13104
Special ward area,Suginami,4107,13115
Special ward area,Sumida,1944,13107
Special ward area,Setagaya,7536,13112
Special ward area,Taito,1935,13106
Special ward area,Chuo,1731,13102
Special ward area,Chiyoda,555,13101
Special ward area,Toshima,2434,13116
Special ward area,Nakano,3481,13114
Special ward area,Nerima,4303,13120
Special ward area,Bunkyo,1590,13105
Special ward area,Minato,3576,13103
Special ward area,Meguro,2861,13110
Tama area,Akishima,519,13207
Tama area,Akiruno,352,13228
Tama area,Inagi,336,13225
Tama area,Ome,476,13205
Tama area,Okutama,17,13308
Tama area,Kiyose,242,13221
Tama area,Kunitachi,255,13215
Tama area,Koganei,542,13210
Tama area,Kokubunji,451,13214
Tama area,Kodaira,609,13211
Tama area,Komae,334,13219
Tama area,Tachikawa,780,13202
Tama area,Tama,541,13224
Tama area,Chofu,1168,13208
Tama area,Nishitokyo,985,13229
Tama area,Hachioji,1984,13201
Tama area,Hamura,225,13227
Tama area,Higashikurume,378,13222
Tama area,Higashimurayama,467,13213
Tama area,Higashiyamato,265,13220
Tama area,Hino,629,13212
Tama area,Hinodemachi,56,13305
Tama area,Hinoharamura,5,13307
Tama area,Fuchu,1066,13206
Tama area,Fussa,327,13218
Tama area,Machida,1750,13209
Tama area,Mizuhomachi,110,13303
Tama area,Mitaka,986,13204
Tama area,Musashino,782,13203
Tama area,Musahimurayama,232,13223
Island area,Aogashima,0,13402
Island area,Oshima,7,13361
Island area,Ogasawara,3,13421
Island area,Kozushimamura,1,13364
Island area,Toshimamura,0,13362
Island area,Niijimamura,0,13363
Island area,Hachijomachi,7,13401
Island area,Mikurajimamura,1,13382
Island area,Miyakemura,4,13381
