id,name,imgurl,birthday,height,cup_size,bust,waist,hips,birthplace,hobby
1,"波多野結衣",https://pics.javhoo.net/2016/02/2jv_a-1.jpg,1988-05-24,163cm,D,88cm,59cm,85cm,"京都府","ゲーム"
2,"上原亜衣",https://pics.javhoo.net/2016/02/2ny_a.jpg,1992-11-12,,E,83cm,57cm,82cm,,
3,"北条麻妃",https://pics.javhoo.net/2016/02/2lk.jpg,,,,,,,,
4,"風間ゆみ",https://pics.javhoo.net/2016/02/2t_a.jpg,1979-02-22,160cm,F,93cm,60cm,90cm,"東京都","水泳"
5,JULIA,https://pics.javhoo.net/2016/02/2de_a.jpg,1987-05-25,158cm,J,101cm,55cm,84cm,,"自分磨き,簿記二級"
6,"沖田杏梨",https://pics.javhoo.net/2016/02/71h_a.jpg,1986-10-28,168cm,K,101cm,59cm,92cm,"イギリス","DJ,ピアノ,サックス"
7,"Rio（柚木ティナ）",https://pics.javhoo.net/2016/02/2mx_a.jpg,1986-10-29,154cm,C,84cm,58cm,83cm,"東京都","カラオケ,ポルトガル語"
8,"希志あいの",https://pics.javhoo.net/2016/02/58u_a.jpg,1988-02-01,157cm,C,87cm,57cm,83cm,"東京都","ダンス,絵"
9,"川菜美鈴",https://pics.javhoo.net/2016/02/i4k_a-1.jpg,1993-06-12,157cm,E,88cm,58cm,87cm,"東京都","食べ歩き,書道"
10,"朝倉ことみ",https://pics.javhoo.net/2016/02/2yu_a.jpg,1987-03-11,158cm,B,76cm,57cm,81cm,"神奈川県","カラオケ映画"
11,"工藤美紗",https://pics.javhoo.net/2016/02/6qd_a.jpg,1989-02-22,153cm,F,86cm,58cm,84cm,,
12,"希崎ジェシカ",https://pics.javhoo.net/2016/02/5kp_a.jpg,1989-06-10,160cm,D,86cm,60cm,87cm,"東京都","ボーリング/フルート"
13,"浜崎りお（森下えりか，篠原絵梨香）",https://pics.javhoo.net/2016/02/19k_a.jpg,1988-06-11,158cm,G,90cm,57cm,85cm,"東京都","ネイルアート"
14,"友田真希",https://pics.javhoo.net/2016/02/g6_a.jpg,1972-08-20,160cm,G,90cm,59cm,88cm,"東京都","料理"
15,"岩佐あゆみ",https://pics.javhoo.net/2016/02/2kj_a.jpg,,155cm,D,86cm,58cm,86cm,,
16,"矢吹京子",https://pics.javhoo.net/2016/02/mbf_a.jpg,,,,,,,,
17,"鈴木さとみ",https://pics.javhoo.net/2016/02/2q8.jpg,,,,,,,,
18,"美咲結衣",https://pics.javhoo.net/2016/02/2v4.jpg,,,,,,,,
19,"朝桐光",https://pics.javhoo.net/2016/02/371.jpg,,,,,,,,
20,"希咲あや",https://pics.javhoo.net/2016/02/3s1.jpg,,,,,,,,
21,"京野結衣",https://pics.javhoo.net/2016/02/3uc.jpg,,,,,,,,
22,"小野麻里亜",https://pics.javhoo.net/2016/02/3ur.jpg,,,,,,,,
23,"北川瞳",https://pics.javhoo.net/2016/02/3v3.jpg,,,,,,,,
24,"北島玲",https://pics.javhoo.net/2016/02/3wl.jpg,,,,,,,,
25,"桜井あゆ",https://pics.javhoo.net/2016/02/91l_a.jpg,1991-04-15,162cm,B,82cm,59cm,81cm,"宮崎県","バレーボール"
26,"有村千佳",https://pics.javhoo.net/2016/02/2p8_a.jpg,1990-04-15,158cm,C,85cm,58cm,88cm,"東京都","ショッピング"
27,"川上ゆう（森野雫）",https://pics.javhoo.net/2016/02/p6_a.jpg,1982-03-03,150cm,D,84cm,60cm,83cm,"東京都","料理全般,水泳（インストラクター,元トライアスロン競技者）"
28,"大槻ひびき",https://pics.javhoo.net/2016/02/2m3_a.jpg,1988-02-21,162cm,E,88cm,57cm,85cm,"北海道",
29,"結城みさ",https://pics.javhoo.net/2016/02/2ft_a.jpg,1979-10-01,154cm,E,87cm,59cm,85cm,,"料理"
30,"初美沙希",https://pics.javhoo.net/2016/02/2ue_a.jpg,1990-10-15,158cm,E,86cm,58cm,86cm,"東京都","ブログ更新,カメラ,音楽"
31,"澤村レイコ（高坂保奈美，高坂ますみ）",https://pics.javhoo.net/2016/02/1rc_a.jpg,1974-11-24,170cm,D,87cm,59cm,87cm,"東京都","スポーツ観戦"
32,"小早川怜子",https://pics.javhoo.net/2016/02/80o_a.jpg,,165cm,I,88cm,60cm,89cm,,
33,"木村つな",https://pics.javhoo.net/2016/02/3xf.jpg,,,,,,,,
34,"美月優芽",https://pics.javhoo.net/2016/02/406.jpg,,,,,,,,
35,"新山かえで",https://pics.javhoo.net/2016/02/40j.jpg,,,,,,,,
36,"かすみ果穂",https://pics.javhoo.net/2016/05/1kz_a.jpg,1984-10-14,153cm,E,85cm,58cm,82cm,"千葉県","ショッピング"
37,"武井麻希",https://pics.javhoo.net/2016/02/417.jpg,,,,,,,,
38,HIKARI,https://pics.javhoo.net/2016/02/43h.jpg,,,,,,,,
39,"音羽レオン",https://pics.javhoo.net/2016/02/44e.jpg,,,,,,,,
40,"斉木ゆあ",https://pics.javhoo.net/2016/02/46b.jpg,,,,,,,,
41,"さくらあきな",https://pics.javhoo.net/2016/02/46w.jpg,,,,,,,,
42,"神波多一花",https://pics.javhoo.net/2016/02/94s_a.jpg,,172cm,C,84cm,60cm,88cm,,
43,"篠田あゆみ",https://pics.javhoo.net/2016/02/n0l_a.jpg,,,,,,,,
44,"椎名ゆな",https://pics.javhoo.net/2016/02/2su_a.jpg,1989-11-18,158cm,,88cm,58cm,85cm,"東京都","イラスト,ドライブ,料理"
45,"本田莉子",https://pics.javhoo.net/2016/02/95f_a.jpg,1991-08-06,155cm,F,88cm,55cm,86cm,,"カメラ,お笑い観賞,映画鑑賞,散歩"
46,"北川エリカ（園田ユリア）",https://pics.javhoo.net/2016/02/6vo_a.jpg,1986-12-09,153cm,F,87cm,58cm,86cm,"東京都","エステ,騎乗位,飲みカラオケ,料理"
47,"つぼみ",https://pics.javhoo.net/2016/02/1fw_a.jpg,1987-12-25,160cm,D,84cm,58cm,85cm,"山口県","読書,ショッピング,ファンシーグッズ収集,犬の散歩"
48,"翔田千里",https://pics.javhoo.net/2016/02/173_a.jpg,1969-01-01,163cm,D,86cm,63cm,90cm,"東京都",
49,"さとう遥希",https://pics.javhoo.net/2016/02/2lf_a.jpg,1991-12-01,160cm,F,89cm,59cm,88cm,,"カラオケ,お菓子作り"
50,"湊莉久",https://pics.javhoo.net/2016/02/8zy_a.jpg,1993-08-01,160cm,E,82cm,58cm,83cm,"神奈川県","運動,読書,料理,買い物"
51,"安城アンナ",https://pics.javhoo.net/2016/02/47z.jpg,,,,,,,,
52,"尾上若葉",https://pics.javhoo.net/2016/02/480.jpg,,,,,,,,
53,"瀧澤まい",https://pics.javhoo.net/2016/02/4kv.jpg,,,,,,,,
54,"小泉真希",https://pics.javhoo.net/2016/02/4kx.jpg,,,,,,,,
55,"舞咲みくに",https://pics.javhoo.net/2016/02/4ky.jpg,,,,,,,,
56,"西川りおん",https://pics.javhoo.net/2016/02/5nj.jpg,,,,,,,,
57,"立花さや",https://pics.javhoo.net/2016/02/5ol.jpg,,,,,,,,
58,"小西まりえ",https://pics.javhoo.net/2016/02/5om.jpg,,,,,,,,
59,"綾瀬ゆい",https://pics.javhoo.net/2016/02/5oy.jpg,,,,,,,,
60,"佳苗るか",https://pics.javhoo.net/2016/02/6gs.jpg,,,,,,,,
61,"小司あん",https://pics.javhoo.net/2016/02/6gz.jpg,,,,,,,,
62,"春原未来",https://pics.javhoo.net/2016/02/2wr_a.jpg,1991-11-23,,D,86cm,59cm,86cm,,"料理,ピアノ"
63,"友田彩也香",https://pics.javhoo.net/2016/02/2di_a.jpg,1988-09-14,160cm,,83cm,57cm,80cm,,"買い物,映画鑑賞"
64,"浜崎真緒",https://pics.javhoo.net/2016/02/b6b_a.jpg,1993-10-20,165cm,E,87cm,59cm,86cm,"千葉県","音楽鑑賞"
65,"阿部乃みく",https://pics.javhoo.net/2016/02/m2c_a.jpg,1993-10-18,155cm,C,80cm,60cm,83cm,,"カフェ巡り/アニメ鑑賞"
66,"羽月希",https://pics.javhoo.net/2016/02/2cj_a.jpg,1988-07-31,154cm,F,88cm,60cm,84cm,"東京都","バトミントン,百人一首"
67,"上原花恋",https://pics.javhoo.net/2016/02/8y3_a.jpg,,163cm,C,87cm,62cm,92cm,,"犬と遊ぶこと"
68,"山本美和子",https://pics.javhoo.net/2016/02/2uk_a.jpg,1981-05-06,170cm,E,90cm,60cm,88cm,"千葉県","人を喜ばせること"
69,"松本まりな",https://pics.javhoo.net/2016/02/2w0_a.jpg,1969-06-09,158cm,C,82cm,59cm,85cm,"神奈川県",
70,"二宮ナナ",https://pics.javhoo.net/2016/02/6h7.jpg,,,,,,,,
71,"都盛星空",https://pics.javhoo.net/2016/02/6hq.jpg,,,,,,,,
72,"水城奈緒",https://pics.javhoo.net/2016/02/6hw.jpg,,,,,,,,
73,"柏倉玲華",https://pics.javhoo.net/2016/02/6hy.jpg,,,,,,,,
74,"大場ゆい",https://pics.javhoo.net/2016/02/6wb.jpg,,,,,,,,
75,"永瀬里美",https://pics.javhoo.net/2016/02/6wh.jpg,,,,,,,,
76,"本澤朋美",https://pics.javhoo.net/2016/02/6wo.jpg,,,,,,,,
77,"山手栞",https://pics.javhoo.net/2016/02/6x1.jpg,,,,,,,,
78,"宮澤みほ",https://pics.javhoo.net/2016/02/6x4.jpg,,,,,,,,
79,"百合川さら",https://pics.javhoo.net/2016/02/70b.jpg,,,,,,,,
80,"高梨あゆみ",https://pics.javhoo.net/2016/02/adb_a.jpg,1989-02-04,157cm,D,83cm,57cm,85cm,"岐阜県","小物集め"
81,"Maika（MEW）",https://pics.javhoo.net/2016/02/pr_a.jpg,1987-05-15,156cm,D,83cm,57cm,85cm,"東京都","歌,笑顔"
82,"宇佐美なな",https://pics.javhoo.net/2016/02/309_a.jpg,1992-12-31,158cm,D,85cm,57cm,86cm,,"映画鑑賞"
83,"愛須心亜",https://pics.javhoo.net/2016/02/94z_a.jpg,1995-03-15,143cm,E,82cm,62cm,88cm,"山形県","カラオケ,ボーリング"
84,"村上涼子（中村りかこ，黒木菜穂）",https://pics.javhoo.net/2016/02/zh_a.jpg,1977-04-29,158cm,G,88cm,61cm,88cm,,
85,"水野朝陽",https://pics.javhoo.net/2016/02/92l_a.jpg,,165cm,F,90cm,58cm,88cm,,
86,"夏目優希",https://pics.javhoo.net/2016/02/7hw_a.jpg,1991-07-31,157cm,B,80cm,55cm,82cm,"東京都","ショッピング"
87,"篠宮ゆり",https://pics.javhoo.net/2016/02/895_a.jpg,1993-03-13,149cm,C,80cm,58cm,80cm,"埼玉県","散歩,アニメ"
88,"阿久美々",https://pics.javhoo.net/2016/02/70c.jpg,,,,,,,,
89,"市来美保",https://pics.javhoo.net/2016/02/70t.jpg,,,,,,,,
90,"堀口真希",https://pics.javhoo.net/2016/02/72b.jpg,,,,,,,,
91,"佐々木絵美",https://pics.javhoo.net/2016/02/72i.jpg,,,,,,,,
92,"春日野結衣",https://pics.javhoo.net/2016/02/73e.jpg,,,,,,,,
93,"赤井美月",https://pics.javhoo.net/2016/02/74f.jpg,,,,,,,,
94,"櫻木梨乃",https://pics.javhoo.net/2016/02/74l.jpg,,,,,,,,
95,"前田かおり",https://pics.javhoo.net/2016/02/77h.jpg,,,,,,,,
96,Ray,https://pics.javhoo.net/2016/02/78g.jpg,,,,,,,,
97,"大橋未久",https://pics.javhoo.net/2016/02/78x.jpg,,,,,,,,
98,"瀬名あゆむ（広瀬藍子）",https://pics.javhoo.net/2016/02/2gr_a.jpg,1986-11-09,158cm,E,90cm,58cm,88cm,"長野県","歌,ダンス"
99,"森ななこ",https://pics.javhoo.net/2016/02/2lg_a.jpg,1985-08-01,164cm,G,94cm,58cm,88cm,"兵庫県","ピアノ,ギター"
100,"佐々木恋海（向井恋）",https://pics.javhoo.net/2016/02/lz6_a.jpg,,166cm,,88cm,59cm,88cm,,
101,"乙葉ななせ",https://pics.javhoo.net/2016/02/efc_a.jpg,1994-03-22,,,,,,,"バスケットボール,カフェ巡り"
