,Name,Image_URL,Birthday,Blood_Type,Breast_Size,Waist_Size,Height,Number_HD_Video_Online,Cup_Size,Hips,Home_Town,Hobby
0,浅倉愛,https://javmodel.com/javdata/uploads/ai_asakura150.jpg,10/28/1993,O, 83, 60, 168, 5,C,83,埼玉県,"スポーツ,料理"
1,羽田あい,https://javmodel.com/javdata/uploads/ai_haneda150.jpg,09/22/1989,O, 87, 55, 169, 26,D,85,東京都,"ゲーム,美味しい店を探す,料理"
2,星奈あい,https://javmodel.com/javdata/uploads/ai_hoshina150.jpg,10/29/1995,, 83, 59, 156, 7,,,,
3,河奈亜依,https://javmodel.com/javdata/uploads/ai_kawana150.jpg,03/18/1998,, 80, 56, 149, 3,,,,
4,皆野あい,https://javmodel.com/javdata/uploads/ai_minano150.jpg,05/15/1995,O, 86, 58, 153, 17,,,,
5,宮地藍,https://javmodel.com/javdata/uploads/ai_miyaji150.jpg,06/12/1994,, 88, 59, 154, 7,,,,
6,向井藍,https://javmodel.com/javdata/uploads/ai_mukai150.jpg,05/30/1995,B, 80, 56, 157, 12,,,,
7,成田愛,https://javmodel.com/javdata/uploads/ai_narita150.jpg,12/23/1984,O, 86, 59, 164, 2,D,88,東京都,格闘技観戦
8,佐山愛,https://javmodel.com/javdata/uploads/ai_sayama150.jpg,01/08/1989,A, 98, 61, 165, 20,H,90,東京都,ネットサーフィン
9,上原亜衣,https://javmodel.com/javdata/uploads/ai_uehara150.jpg,12/11/1992,O, 83, 60, 155, 15,E,82,,
10,柚月あい,https://javmodel.com/javdata/uploads/ai_yuzuki150.jpg,12/05/1994,, 91, 60, 160, 20,F,88,秋田県,
11,AIKA,https://javmodel.com/javdata/uploads/aika150.jpg,08/25/1990,O, 87, 60, 163, 25,,,,
12,愛華みれい,https://javmodel.com/javdata/uploads/aika_mirei150.jpg,02/14/1991,, 85, 58, 155, 5,,,,
13,三浦あいか,https://javmodel.com/javdata/uploads/aika_miura_150.jpg,12/24/1976,, 84, 59, 155, 3,B,79,神奈川県,"ドライブ,スキー,フィッシング"
14,山岸逢花,https://javmodel.com/javdata/uploads/aika_yamagishi150.jpg,11/30/1992,, 82, 59, 160, 4,,,,
15,吉川あいみ,https://javmodel.com/javdata/uploads/aimi_yoshikawa150.jpg,03/20/1994,A, 95, 58, 152, 35,H,85,神奈川県,
16,あいむ咲羅,https://javmodel.com/javdata/uploads/aimu_sara150.jpg,07/30/1994,, 83, 58, 161, 1,F,80,,
17,希志あいの,https://javmodel.com/javdata/uploads/aino_kishi150.jpg,02/01/1988,AB, 85, 57, 157, 42,C,83,東京都,"ダンス,絵"
18,椿あいの,https://javmodel.com/javdata/uploads/aino_tsubaki150.jpg,11/15/1994,, 85, 59, , 6,,,,
19,日向あいり,https://javmodel.com/javdata/uploads/airi_hinata150.jpg,12/17/1992,, 90, 60, 160, 1,,,,
20,希島あいり,https://javmodel.com/javdata/uploads/airi_kijima150.jpg,12/24/1988,O, 85, 58, 160, 61,,87,東京都,読書/ダンス
21,来瀬あいり,https://javmodel.com/javdata/uploads/airi_kuruse150.jpg,11/29/1994,A, 90, 61, 156, 1,,,,
22,さとう愛理,https://javmodel.com/javdata/uploads/airi_sato150.jpg,03/04/1995,AB, 86, 59, 149, 4,,,,"映画,漫画の声似"
23,鈴村あいり,https://javmodel.com/javdata/uploads/airi_suzumura150.jpg,09/24/1993,A, 82, 53, 152, 79,D,80,神奈川県,お菓子作り
24,高田愛理,https://javmodel.com/javdata/uploads/airi_takada150.jpg,,, , , , 1,,,,
25,高坂あいり,https://javmodel.com/javdata/uploads/airi_takasaka150.jpg,11/30/1988,, 93, 58, 158, 1,,,,
26,藤井あいさ,https://javmodel.com/javdata/uploads/aisa_fujii150.jpg,11/17/1993,A, 83, 57, 160, 5,,85,大阪府,
27,逢坂はるな,https://javmodel.com/javdata/uploads/aisaka_haruna150.jpg,08/13/1993,, 83, 57, 163, 23,D,85,神奈川県,"買い物,ヨガ"
28,悠月アイシャ,https://javmodel.com/javdata/uploads/aishi_yuzuki150.jpg,,, 90, 58, 160, 4,,,,
29,有栖花あか,https://javmodel.com/javdata/uploads/aka_asuka105.jpg,09/03/2000,, 105, 59, 162, 9,,,,
30,秋葉あかね,https://javmodel.com/javdata/uploads/akane_akiba150.jpg,11/01/1991,, 90, 60, 177, 5,F,95,奈良県,"アニメ鑑賞,身体が柔らかい事"
31,茜はるか,https://javmodel.com/javdata/uploads/akane_haruka150.jpg,04/20/1998,, 79, 58, 164, 2,,,,
32,森野明音,https://javmodel.com/javdata/uploads/akane_morino150.jpg,07/30/1994,A, 81, 57, 157, 3,,,,
33,志木あかね,https://javmodel.com/javdata/uploads/akane_shiki150.jpg,09/24/1995,, 84, 60, 160, 1,,,,
34,朝日奈あかり,https://javmodel.com/javdata/uploads/akari_asahina150.jpg,05/30/1988,A, 85, 59, 160, 15,E,85,群馬県,バスケットボール
35,舞島あかり,https://javmodel.com/javdata/uploads/akari_maijima150.jpg,05/20/1995,, 85, 58, 163, 16,,,,
36,美谷朱里,https://javmodel.com/javdata/uploads/akari_mitani150.jpg,04/15/1997,, 83, 58, 166, 18,,,,
37,七原あかり,https://javmodel.com/javdata/uploads/akari_nanahara150.jpg,11/30/1983,, 92, 59, 167, 2,,,,
38,夏川あかり,https://javmodel.com/javdata/uploads/akari_natugawa150.jpg,11/30/1994,O, 88, 63, 165, 24,,,,
39,根尾あかり,https://javmodel.com/javdata/uploads/akari_neo150.jpg,11/19/1998,, 84, 60, 157, 25,,,,
40,新村あかり,https://javmodel.com/javdata/uploads/akari_niimura150.jpg,07/07/1994,, 86, 58, 153, 1,,,,
41,明里つむぎ,https://javmodel.com/javdata/uploads/akari_tsumugi150.jpg,03/31/1998,O, 80, 58, 155, 77,,,,
42,佐々木あき,https://javmodel.com/javdata/uploads/aki_sasaki150.jpg,12/24/1979,, 82, 58, 166, 17,,,,
43,原田明絵,https://javmodel.com/javdata/uploads/akie_harada150.jpg,01/22/1987,B, 82, 60, 147, 7,,82,埼玉県,"スノーボード,ダーツ"
44,吉沢明歩,https://javmodel.com/javdata/uploads/akiho_yoshizawa150.jpg,03/03/1983,A, 86, 58, 161, 152,E,86,東京都,"美術館めぐり,料理,テニス"
45,長谷川秋子,https://javmodel.com/javdata/uploads/akiko_hasegawa150.jpg,11/30/1981,, 82, 58, 164, 3,,,,
46,亜希菜,https://javmodel.com/javdata/uploads/akina150.jpg,12/04/1987,O, 85, 58, 164, 2,D,83,,英会話
47,心乃秋奈,https://javmodel.com/javdata/uploads/2019111714311218b.jpg,06/30/1999,, 78, 55, 155, 1,,,,
48,白石あこ,https://javmodel.com/javdata/uploads/ako-shiraishi150.jpg,12/22/1998,, 85, 57, 163, 6,,,,
49,浅唐あく美,https://javmodel.com/javdata/uploads/akubi_asakara150.jpg,03/21/1988,O, 93, 60, 163, 2,,,,
50,美雪ありす,https://javmodel.com/javdata/uploads/alice_miyuki150.jpg,04/25/1987,A, 86, 56, 167, 24,F,85,北海道,"犬の散歩,資格をとること"
51,七瀬アリス,https://javmodel.com/javdata/uploads/alice_nanase150.jpg,02/25/1993,, 88, 58, 155, 2,,,,
52,乙アリス,https://javmodel.com/javdata/uploads/alice_otsu150.jpg,12/19/1993,, 88, 59, 161, 1,,,,
53,小沢アリス,https://javmodel.com/javdata/uploads/alice_ozawa150.jpg,10/20/1990,O, 100, 61, 167, 1,G,89,兵庫県,"カラオケ,音楽鑑賞,絵を描く事"
54,天色翠,https://javmodel.com/javdata/uploads/amairo_midori150.jpg,01/25/1996,A, 78, 58, 167, 1,,85,東京都,"掃除,いたずら,歌,食べること"
55,素人,https://javmodel.com/javdata/uploads/amateur150.jpg,,, , , , 493,,,,
56,星あめり,https://javmodel.com/javdata/uploads/ameri_hoshi150.jpg,11/30/1991,, 85, 58, 158, 2,,,,
57,安達亜美,https://javmodel.com/javdata/uploads/ami_adachi150.jpg,12/01/1991,O, 85, 57, 158, 24,F,89,東京都,"漫画を読むこと,カエル倒立"
58,阿由葉あみ,https://javmodel.com/javdata/uploads/ami-ayuha150.jpg,01/05/1998,, 82, 58, 165, 5,,,,
59,西原亜実,https://javmodel.com/javdata/uploads/ami_nishihara150.jpg,12/07/1996,O, 85, 58, 155, 6,,,,
60,桜井あみ,https://javmodel.com/javdata/uploads/ami_sakurai150.jpg,02/11/1987,, 84, 58, 157, 1,E,82,,
61,徳永亜美,https://javmodel.com/javdata/uploads/ami_tokunaga150.jpg,02/13/1993,O, 95, 65, 154, 3,G,95,群馬県,"お菓子作り,誰とでも仲良くなれる"
62,堤あみ,https://javmodel.com/javdata/uploads/ami_tsutsumi150.jpg,12/19/1995,A, 80, 56, 145, 1,,,,
63,斎藤あみり,https://javmodel.com/javdata/uploads/amiri_saitou150.jpg,01/23/2000,O, 85, 59, 160, 20,,,,
64,あまつか亜夢,https://javmodel.com/javdata/uploads/amu_amatsuka150.jpg,08/30/2002,, 84, 53, 154, 3,,,,
65,花宮あむ,https://javmodel.com/javdata/uploads/amu_hanamiya150.jpg,09/30/1998,, 95, 60, 171, 11,,,,
